"Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0645-01"
"Release date: 2024-12-20"
"Geography: Canada, Province or territory"
""
""

,"Geography","British Columbia",,,,,,,,,,,
"Economic variable","Industry","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Electric power engineering  [BS23C300]","77,820","78,390","81,080","85,662","90,744","114,906","109,215","111,498","116,290","102,856","111,607p","113,696p"
,"Manufacturing  [BS3A0]","78,051","81,444","83,281","90,053","86,374","89,110","93,005","83,518","86,145","91,071","98,627p","100,892p"
,"Wood product manufacturing  [BS321]","..","..","..","..","..","..","..","83,735","83,777","91,516","99,335p","101,410p"
,"Paper manufacturing  [BS322] 7","..","..","..","..","..","..","..","127,670","127,523","125,939","140,562p","141,695p"
,"Non-metallic mineral product manufacturing  [BS327] 8","..","..","..","..","..","..","..","71,311","75,564","76,100","82,929p","86,233p"
,"Primary metal manufacturing  [BS331]","..","..","..","..","..","..","..","115,798","116,310","117,352","126,837p","135,934p"
,"Fabricated metal product manufacturing  [BS332]","..","..","..","..","..","..","..","73,440","79,561","82,300","88,979p","91,837p"
,"Electric equipment manufacturing  [BS335300]","92,624","94,644","95,344","98,203","98,646","99,554","94,344","91,248","93,815","96,207","105,338p","107,417p"
,"Wholesale, Retail trade and other services 9","..","..","..","..","..","..","..","74,255","82,252","81,875","87,760p","91,655p"
,"Wholesale, retail, and transportation and warehousing services 10","..","..","..","..","..","..","..","55,726","60,166","60,470","65,430p","66,866p"
,"Professional, scientific and technical services  [BS540]","73,224","76,165","74,640","77,990","78,154","73,134","77,102","78,121","85,702","82,085","88,276p","92,399p"
,"Administrative and support, waste management and remediation services  [BS560]","62,581","64,935","65,962","64,564","63,837","64,404","68,205","64,440","74,804","75,861","82,733p","85,828p"
,"Waste management and remediation services  [BS562000]","62,720","64,982","66,519","64,541","63,738","64,514","68,435","64,531","76,739","77,168","84,114p","87,363p"
,"Government services 11","..","..","..","..","..","..","..","90,539","101,445","103,063","105,039p","110,142p"
,"Other industries (Terminated) 12","64,396t","66,102t","67,552t","69,530t","67,316t","72,782t","75,292t","..t","..t","..t","..t","..t"

Symbol legend:
.., not available for a specific reference period
p, preliminary
x, suppressed to meet the confidentiality requirements of the Statistics Act




Footnotes:
1,"This account provides estimates on environmental and clean technology goods and services. Examples of those goods and services are listed in the technical reference guide available <a href="https://www150.statcan.gc.ca/n1/pub/16-511-x/16-511-x2024001-eng.htm" rel="external noopener noreferrer" target="_blank">here (opens new window)</a>."
2,"Totals may not add due to rounding. Not all members add up to total."
3,"This table uses the industry classification of the Supply-Use tables. The Supply-Use tables are built around three classification systems: the Input-Output Industry Classification (IOIC), the Supply-Use Product Classification (SUPC) and the Input-Output Final Demand Classification (IOFDC). The Input-Output Industry Classification (IOIC) is based on the North American Industry Classification System (NAICS)."
4,"Source: Statistics Canada, Environment Accounts and Statistics Division, National Economic Accounts Division."
5,"Includes Crop and animal production (BS11A), Forestry and logging (BS113), Fishing, hunting and trapping (BS114) and Support activities for agriculture and forestry (BS115) industries."
6,"Includes Residential building construction (BS23A), Non-residential building construction (BS23B), Engineering construction (BS23C), Repair construction (BS23D) and Other activities of the construction industry (BS23E)."
7,"Includes Pulp, paper and paperboard mills (BS322100) and Converted paper product manufacturing (BS322200)."
8,"Includes Non-metallic mineral product manufacturing (except cement and concrete products) (BS327A0) and Cement and concrete product manufacturing (BS32730)."
9,"Includes Wholesale trade (BS410), Retail trade (BS4A0), Transportation and warehousing (BS4B0), Information and cultural industries (BS510), Finance, insurance, real estate, rental and leasing and holding companies (BS5B0), Owner occupied dwellings (BS53C), Professional, scientific and technical services (BS540), Administrative and support, waste management and remediation services (BS560), Educational services (BS610), Health care and social assistance (BS620), Arts, entertainment and recreation (BS710), Accommodation and food services (BS720), Other services (except public administration) (BS810), Non-profit institutions serving households (NP000), Government health and education services (GS610 and GS620) and other Government services (GS911, GS912, GS913, and GS914) industries."
10,"Includes Wholesale trade (BS410), Retail trade (BS4A0) and Transportation and warehousing (BS4B0)."
11,"Includes Government health and education services (GS610 and GS620) and other Government services (GS911, GS912, GS913, and GS914) industries."
12,"Starting in 2019, the category "Other Industries" is terminated and expanded into its parts. For previous years, it included the following industries: Agriculture, forestry, logging, fishing, hunting, and trapping (BS110), Mining, quarrying, and oil and gas extraction (BS210), Wholesale trade (BS410), Retail trade (BS4A0), Transportation and warehousing (BS4B0), Information and cultural industries (BS510), Finance, insurance, real estate, rental and leasing and holding companies (BS5B0), Educational services (BS610), Owner occupied dwellings (BS53C), Health care and social assistance (BS620); Arts, entertainment and recreation (BS710), Accommodation and food services (BS720), Other services (except public administration) (BS810), Non-profit institutions serving households (NP000), Government health and education services (GS610 and GS620) and other Government services (GS911, GS912, GS913, and GS914) industries."



"How to cite: Statistics Canada. Table 36-10-0645-01  Environmental and Clean Technology Products Economic Account, output, gross domestic product, and compensation of employees per industry"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610064501
